o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-111.9423966 33.4292176,-111.9423966 33.4292176)"
1,A1,2,A2,0.5219885742063037,"LINESTRING (-111.9423966 33.4292176,-111.9370258 33.4298654)"
1,A1,3,A3,1.060610963434121,"LINESTRING (-111.9423966 33.4292176,-111.9314053 33.4290999)"
1,A1,4,A4,1.5565580744156882,"LINESTRING (-111.9423966 33.4292176,-111.926268 33.4288957)"
1,A1,5,A5,2.1965967888429394,"LINESTRING (-111.9423966 33.4292176,-111.9196324 33.4294071)"
1,A1,6,B1,0.3074296941480619,"LINESTRING (-111.9423966 33.4292176,-111.9415443 33.4261476)"
1,A1,7,B2,0.6204601722322869,"LINESTRING (-111.9423966 33.4292176,-111.9369258 33.4258385)"
1,A1,8,B3,1.197770979520117,"LINESTRING (-111.9423966 33.4292176,-111.9305188 33.4256106)"
1,A1,9,B4,1.6444819889399906,"LINESTRING (-111.9423966 33.4292176,-111.9257505 33.425561)"
1,A1,10,B5,1.9259169652522872,"LINESTRING (-111.9423966 33.4292176,-111.9226959 33.4260126)"
1,A1,11,C1,0.6392828993084276,"LINESTRING (-111.9423966 33.4292176,-111.9416434 33.4226352)"
1,A1,12,C2,0.8143964950959348,"LINESTRING (-111.9423966 33.4292176,-111.9368547 33.4228517)"
1,A1,13,C3,1.2681883982585065,"LINESTRING (-111.9423966 33.4292176,-111.9311424 33.4224288)"
1,A1,14,C4,1.724333588933922,"LINESTRING (-111.9423966 33.4292176,-111.9258398 33.4224923)"
1,A1,15,C5,2.1995411083465055,"LINESTRING (-111.9423966 33.4292176,-111.920573 33.4226323)"
1,A1,16,D1,0.9257146452841924,"LINESTRING (-111.9423966 33.4292176,-111.940984 33.4197283)"
1,A1,17,D2,1.0658042792717166,"LINESTRING (-111.9423966 33.4292176,-111.9367946 33.4196978)"
1,A1,18,D3,1.3742514156596932,"LINESTRING (-111.9423966 33.4292176,-111.9315452 33.419993)"
1,A1,19,D4,1.831295300753623,"LINESTRING (-111.9423966 33.4292176,-111.9259415 33.4197604)"
1,A1,20,D5,2.228708757980549,"LINESTRING (-111.9423966 33.4292176,-111.9213745 33.419648)"
1,A1,21,E1,1.193235459429476,"LINESTRING (-111.9423966 33.4292176,-111.9408989 33.4169422)"
1,A1,22,E2,1.358702568137121,"LINESTRING (-111.9423966 33.4292176,-111.9366213 33.4163752)"
1,A1,23,E3,1.5891830242016733,"LINESTRING (-111.9423966 33.4292176,-111.9318168 33.4165951)"
1,A1,24,E4,2.005356110176013,"LINESTRING (-111.9423966 33.4292176,-111.925987 33.4164638)"
1,A1,25,E5,2.4433890573088535,"LINESTRING (-111.9423966 33.4292176,-111.9207683 33.4160473)"
1,A1,26,Gate1,1.3291372391353566,"LINESTRING (-111.9423966 33.4292176,-111.947725 33.416515)"
1,A1,27,Gate2,1.0537379784503484,"LINESTRING (-111.9423966 33.4292176,-111.947725 33.419685)"
1,A1,28,Gate3,0.8007737541312818,"LINESTRING (-111.9423966 33.4292176,-111.947725 33.422855)"
