poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
2,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
3,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
5,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
6,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
8,warehouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,dentist,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
11,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,train_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
17,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
18,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
19,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
20,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
21,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
23,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
25,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
29,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
30,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
32,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
35,kindergarten,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
38,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
