agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,887,705,,,1,2,"LINESTRING(-111.9440529 33.4288937,-111.9384709 33.4306011)",0716
2,v,767,779,,,1,2,"LINESTRING(-111.9396276 33.4290018,-111.934262 33.430779)",0756
3,v,894,764,,,1,2,"LINESTRING(-111.944872 33.429055,-111.9394959 33.4278439)",0702
4,v,894,900,,,1,3,"LINESTRING(-111.944872 33.429055,-111.9299627 33.4291276)",0706
5,v,767,558,,,1,3,"LINESTRING(-111.9396276 33.4290018,-111.9323497 33.4282513)",0717
6,v,884,689,,,1,3,"LINESTRING(-111.9449178 33.4302576,-111.9298064 33.4281537)",0719
7,v,603,557,,,1,4,"LINESTRING(-111.9418549 33.4289587,-111.9279301 33.4276964)",0735
8,v,320,556,5634899228.0,,1,4,"LINESTRING(-111.9449232 33.4294451,-111.9281838 33.4284898)",0757
9,v,321,804,5634899237.0,,1,4,"LINESTRING(-111.9445362 33.4301978,-111.9280683 33.4293778)",0716

