node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry,_zone_id
0,-112.3431979,33.4931306,50.0,50.0,0,,,,secondary,POINT (-112.3431979 33.4931306),-1.0
1,-112.3431591,33.4926301,10.0,10.0,0,,,,residential,POINT (-112.3431591 33.4926301),-1.0
2,-112.3415647,33.4915135,10.0,10.0,0,,,,residential,POINT (-112.3415647 33.4915135),-1.0
3,-112.3417273,33.4918512,10.0,10.0,0,,,,residential,POINT (-112.3417273 33.4918512),-1.0
4,-112.3417645,33.4918986,10.0,10.0,0,,,,residential,POINT (-112.3417645 33.4918986),-1.0
5,-112.342319,33.4923946,10.0,10.0,0,,,,residential,POINT (-112.342319 33.4923946),-1.0
6,-112.3425023,33.4924771,10.0,10.0,0,,,,residential,POINT (-112.3425023 33.4924771),-1.0
7,-112.3430329,33.4926213,10.0,10.0,0,,,,residential,POINT (-112.3430329 33.4926213),-1.0
8,-112.3442708,33.4924733,10.0,10.0,0,,,,residential,POINT (-112.3442708 33.4924733),-1.0
9,-112.3172959,33.4614156,50.0,50.0,0,,,,service,POINT (-112.3172959 33.4614156),-1.0
10,-112.3152497,33.461383,10.0,10.0,0,,,,residential,POINT (-112.3152497 33.461383),-1.0
11,-112.3152544,33.4606646,10.0,10.0,0,,,,residential,POINT (-112.3152544 33.4606646),-1.0
12,-112.3173486,33.4606931,50.0,50.0,0,,,,service,POINT (-112.3173486 33.4606931),-1.0
13,-112.3152522,33.4610129,10.0,10.0,0,,,,residential,POINT (-112.3152522 33.4610129),-1.0
14,-112.317323,33.461044,50.0,50.0,0,,,,service,POINT (-112.317323 33.461044),-1.0
15,-112.3159226,33.4639529,50.0,50.0,0,,,,service,POINT (-112.3159226 33.4639529),-1.0
16,-112.3163211,33.4633535,50.0,50.0,0,,,,service,POINT (-112.3163211 33.4633535),-1.0
18,-112.3152471,33.4617819,10.0,10.0,0,,,,residential,POINT (-112.3152471 33.4617819),-1.0
19,-112.3172529,33.4617819,50.0,50.0,0,,,,service,POINT (-112.3172529 33.4617819),-1.0
20,-112.3162917,33.4638169,50.0,50.0,0,,,,service,POINT (-112.3162917 33.4638169),-1.0
21,-112.3168139,33.4638232,50.0,50.0,0,,,,service,POINT (-112.3168139 33.4638232),-1.0
22,-112.3171584,33.4638196,50.0,50.0,0,,,,service,POINT (-112.3171584 33.4638196),-1.0
23,-112.3052262,33.483719,10.0,10.0,0,,,,residential,POINT (-112.3052262 33.483719),-1.0
24,-112.3041639,33.4843294,10.0,10.0,0,,,,residential,POINT (-112.3041639 33.4843294),-1.0
25,-112.3037024,33.4846024,10.0,10.0,0,,,,residential,POINT (-112.3037024 33.4846024),-1.0
26,-112.3030361,33.4852029,10.0,10.0,0,,,,residential,POINT (-112.3030361 33.4852029),-1.0
27,-112.3168625,33.4622205,50.0,50.0,0,,,,service,POINT (-112.3168625 33.4622205),-1.0
28,-112.3165019,33.4626514,50.0,50.0,0,,,,service,POINT (-112.3165019 33.4626514),-1.0
29,-112.3152987,33.4635678,10.0,10.0,0,,,,residential,POINT (-112.3152987 33.4635678),-1.0
30,-112.3152718,33.4627025,10.0,10.0,0,,,,residential,POINT (-112.3152718 33.4627025),-1.0
31,-112.3152596,33.4622127,10.0,10.0,0,,,,residential,POINT (-112.3152596 33.4622127),-1.0
32,-112.3172453,33.4622224,50.0,50.0,0,,,,service,POINT (-112.3172453 33.4622224),-1.0
33,-112.330677,33.4779551,10.0,10.0,0,,,,residential,POINT (-112.330677 33.4779551),-1.0
34,-112.3307186,33.4781074,10.0,10.0,0,,,,residential,POINT (-112.3307186 33.4781074),-1.0
37,-112.307094,33.4879014,10.0,10.0,0,,,,residential,POINT (-112.307094 33.4879014),-1.0
38,-112.3070964,33.4885501,10.0,10.0,0,,,,residential,POINT (-112.3070964 33.4885501),-1.0
39,-112.307281,33.4892789,10.0,10.0,0,,,,residential,POINT (-112.307281 33.4892789),-1.0
40,-112.3072849,33.4907267,10.0,10.0,0,,,,residential,POINT (-112.3072849 33.4907267),-1.0
