name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,4070185565,,-87.639344,41.932022,0,secondary,,,
,1,11948936195,,-87.639292,41.932670,0,secondary,,,
,2,1369154055,signal,-87.800751,41.923559,0,secondary,,,
,3,4276150322,,-87.795606,41.923596,0,secondary,,,
,4,4334157068,,-87.748331,41.996893,0,primary,,,
,5,1438083136,signal,-87.748336,41.991401,0,primary,,,
,6,4334157067,,-87.748337,41.990729,0,primary,,,
,7,258016930,,-87.620206,41.847926,0,motorway,,,
,8,9395907053,,-87.618302,41.847955,0,motorway,,,
,9,1282296437,,-87.891612,41.977514,0,motorway,,,
,10,310321518,,-87.885962,41.977909,0,motorway,,,
,11,26683758,,-87.885972,41.978169,0,motorway,,,
,12,110992161,,-87.893829,41.979790,0,motorway,,,
,13,26703640,,-87.699724,41.934230,0,motorway,,,
,14,4334551538,,-87.698115,41.932982,0,motorway,,,
,15,26703891,,-87.661230,41.905802,0,motorway,,,
,16,4337248983,,-87.661611,41.903813,0,motorway,,,
,17,25779161,,-87.660921,41.900902,0,motorway,,,
,18,739968328,,-87.659541,41.897886,0,motorway,,,
,19,26703897,,-87.676495,41.921222,0,motorway,,,
,20,8454014149,,-87.674167,41.919907,0,motorway,,,
,21,26703423,,-87.741888,41.959775,0,motorway,,,
,22,310319149,,-87.738629,41.957894,0,motorway,,,
,23,26792886,,-87.660194,41.900116,0,motorway,,,
,24,309816381,,-87.660940,41.903121,0,motorway,,,
,25,26704171,,-87.682094,41.924754,0,motorway,,,
,26,26704172,,-87.682942,41.925235,0,motorway,,,
,27,347267029,,-87.644538,41.861936,0,motorway,,,
,28,25779203,,-87.644383,41.857773,0,motorway,,,
,29,258487701,,-87.631735,41.927967,0,motorway,,,
,30,258487313,,-87.631911,41.932367,0,motorway,,,
,31,26794507,,-87.644784,41.952961,0,motorway,,,
,32,519550469,,-87.639785,41.942452,0,motorway,,,
,33,4335556804,,-87.644316,41.953713,0,motorway,,,
,34,26794540,signal,-87.644162,41.954667,0,motorway,,,
,35,29412101,signal,-87.631182,41.894036,0,secondary,,,
,36,29412102,signal,-87.631163,41.893233,0,secondary,,,
,38,27440229,signal,-87.626066,41.876978,0,secondary,,,
,39,27440237,signal,-87.629257,41.876904,0,secondary,,,
,40,740237183,,-87.629742,41.876898,0,secondary,,,
,41,2390751536,signal,-87.630743,41.876886,0,secondary,,,
,42,10977471900,,-87.626939,41.878244,0,secondary,,,
,43,27440220,signal,-87.626099,41.878262,0,secondary,,,
,44,27440209,signal,-87.639590,41.878055,0,secondary,,,
,45,929515145,,-87.638244,41.878069,0,secondary,,,
,46,27440566,signal,-87.621834,41.896766,0,secondary,,,
,47,27440565,,-87.621852,41.897618,0,tertiary,,,
,48,261114939,signal,-87.672179,41.895991,1,secondary,,48,
,49,354053082,signal,-87.669738,41.896031,0,secondary,,,
,52,27446494,signal,-87.624508,41.882115,0,secondary,,,
,53,262173232,,-87.625344,41.882091,0,secondary,,,
,54,26098065,,-87.742995,41.817263,0,motorway,,,
,55,347275611,,-87.738868,41.818341,0,motorway,,,
,56,26098066,,-87.743814,41.817002,0,motorway,,,
,57,25779235,,-87.743002,41.817547,0,motorway,,,
,58,25779236,,-87.743824,41.817296,0,motorway,,,
,59,349897295,,-87.631289,41.778979,0,motorway,,,
,60,2987005871,,-87.628412,41.775676,0,motorway,,,
,61,26793983,,-87.614728,41.853242,0,motorway,,,
,62,713056463,,-87.613551,41.850137,0,motorway,,,
,63,740243454,,-87.628314,41.882005,0,secondary,,,
,64,4322791448,,-87.628577,41.881998,0,secondary,,,
,65,258021247,signal,-87.635274,41.879369,0,secondary,,,
,67,258019075,,-87.616851,41.847976,0,motorway,,,
,68,713057538,,-87.612160,41.849538,0,motorway,,,
,69,250774815,,-87.631050,41.714977,0,motorway,,,
,70,459963727,,-87.636193,41.714895,0,motorway,,,
,71,5701128054,,-87.628348,41.902414,1,secondary,,71,
,72,4043180079,signal,-87.628340,41.902373,0,secondary,,,
,73,258019610,,-87.631529,41.842238,0,motorway,,,
,74,349849166,,-87.631511,41.841797,0,motorway,,,
,75,349883027,,-87.631229,41.809163,0,motorway,,,
,76,349882502,,-87.630547,41.810364,0,motorway,,,
,77,263778055,,-87.888110,41.976603,0,motorway,,,
,78,263785875,,-87.884613,41.994992,0,primary,,,
,79,2610439068,,-87.885460,41.994991,-1,tertiary,,79,
,80,4686227139,,-87.885711,41.976916,0,tertiary,,,
,81,29786142,,-87.883268,41.979031,0,motorway,,,
,82,2998695005,,-87.819447,41.983463,0,motorway,,,
,83,2998695003,,-87.817819,41.983163,0,motorway,,,
,84,102857311,,-87.878623,41.986032,0,primary,,,
,85,1153867735,,-87.878871,41.987877,0,primary,,,
,87,1349435058,,-87.884643,41.997588,0,primary,,,
,88,29786224,,-87.878832,41.980153,0,primary,,,
,89,29839275,,-87.878771,41.981354,0,primary,,,
,90,29840732,,-87.879094,41.980047,0,primary,,,
,91,9241113612,,-87.878237,41.974393,0,primary,,,
,92,2610439065,,-87.884610,41.994874,0,primary,,,
,93,29840719,,-87.884610,41.994559,0,primary,,,
,94,6341896531,,-87.634652,41.845323,0,motorway,,,
,95,11918710082,,-87.646851,41.887383,0,motorway,,,
,96,287261388,,-87.646315,41.886261,0,motorway,,,
,97,26794450,,-87.644574,41.954565,0,motorway,,,
,98,26794454,,-87.644596,41.954749,0,motorway,,,
,99,26794497,,-87.644819,41.954748,0,motorway,,,
,100,26794503,,-87.644791,41.954561,0,motorway,,,
,101,258487328,,-87.632114,41.932367,0,motorway,,,
,102,250755869,,-87.631859,41.927741,0,motorway,,,
,103,29053373,,-87.879823,41.980468,0,motorway,,,
,104,2400933889,,-87.683998,41.931734,0,secondary,,,
,105,5493106920,,-87.684942,41.930848,0,secondary,,,
,106,27440242,signal,-87.623299,41.875890,0,secondary,,,
,108,740237206,,-87.621081,41.875931,0,secondary,,,
,109,258920785,,-87.622327,41.875917,0,secondary,,,
,110,7132136357,,-87.622320,41.875602,0,secondary,,,
,111,4334632940,,-87.622021,41.875606,0,secondary,,,
,112,349900122,,-87.630393,41.837743,0,motorway,,,
,113,349854162,,-87.630818,41.843268,0,motorway,,,
,114,262185639,signal,-87.623921,41.857891,0,secondary,,,
,115,704990299,signal,-87.625623,41.857860,0,secondary,,,
,120,349820645,signal,-87.623666,41.847479,0,secondary,,,
,121,1318401249,,-87.623658,41.846102,0,secondary,,,
,122,1107013921,,-87.622325,41.861247,1,tertiary,,122,
,124,26098027,,-87.636332,41.847222,0,motorway,,,
,125,713242038,,-87.634115,41.846947,0,motorway,,,
,126,262158752,signal,-87.679287,41.972397,0,secondary,,,
,127,4332586848,,-87.679197,41.969137,0,secondary,,,
,129,4336249712,,-87.647474,41.885433,0,secondary,,,
,131,707902604,,-87.644335,41.888944,0,secondary,,,
,132,28289310,signal,-87.630875,41.881984,0,secondary,,,
,133,8145232365,,-87.630844,41.881068,0,secondary,,,
,134,4332568199,,-87.689404,41.982835,0,secondary,,,
,135,305527290,,-87.689353,41.981380,0,secondary,,,
,136,2196391027,,-87.689255,41.978555,-1,secondary,,136,
,137,701679,,-87.821168,41.983945,0,motorway,,,
,138,1223297118,,-87.826001,41.984517,0,motorway,,,
,139,261143294,signal,-87.664612,41.882852,0,secondary,,,
,140,261143286,signal,-87.656698,41.882992,0,tertiary,,,
,141,261143284,signal,-87.654398,41.883032,-1,tertiary,,141,
,143,250755829,signal,-87.633196,41.912907,0,primary,,,
,144,740363260,,-87.627383,41.886809,0,secondary,,,
,145,271172137,signal,-87.626312,41.886804,0,secondary,,,
,146,102856033,,-87.878744,41.982180,0,primary,,,
,147,102856044,,-87.878218,41.981393,0,motorway,,,
,148,102856728,,-87.878875,41.986178,0,primary,,,
,149,102856718,,-87.881911,41.979854,0,motorway,,,
,150,29841507,,-87.875971,41.982314,0,motorway,,,
,151,29840538,,-87.878109,41.974777,0,primary,,,
,152,102857955,,-87.875856,41.982095,0,motorway,,,
,153,261147429,,-87.682444,42.012621,0,secondary,,,
,154,281231730,signal,-87.683076,42.012318,0,secondary,,,
I-90 West - Rockford (Kennedy Expy),157,26704238,,-87.742619,41.960998,0,motorway,,,
,158,305912896,,-87.743155,41.961490,0,motorway,,,
,159,26683723,,-87.882894,41.979456,0,motorway,,,
,160,310321667,,-87.883330,41.979362,0,motorway,,,
,161,263784101,,-87.886689,41.980018,0,motorway,,,
,162,4686227173,,-87.885767,41.977593,0,tertiary,,,
,163,263782048,,-87.885991,41.976984,0,motorway,,,
,164,263718462,,-87.854369,41.984825,0,motorway,,,
,165,110980693,,-87.857292,41.984124,-1,motorway,,165,
,166,2395940291,signal,-87.654833,41.969091,0,secondary,,,
,167,4794259001,,-87.659320,41.969025,0,secondary,,,
,168,261145124,signal,-87.727086,41.935438,0,secondary,,,
,169,4332811579,,-87.727180,41.938841,0,secondary,,,
,170,29841510,,-87.879415,41.980892,0,motorway,,,
,171,102855127,,-87.879037,41.981540,0,primary,,,
,172,261144058,signal,-87.939925,41.993492,0,secondary,,,
,173,6880924243,,-87.939915,41.992308,0,secondary,,,
,174,4276059106,,-87.939750,41.979368,1,secondary,,174,
,175,4276059109,,-87.939786,41.983850,0,secondary,,,
,176,257149798,signal,-87.660074,41.983631,0,primary,,,
,177,262161000,,-87.661365,41.984436,0,primary,,,
,180,250278812,,-87.669796,41.987608,0,secondary,,,
,181,262162429,,-87.669585,41.987147,0,secondary,,,
,182,8128797056,,-87.669684,41.987881,0,secondary,,,
,183,257156476,signal,-87.668085,41.973390,0,secondary,,,
,184,4332542490,,-87.667527,41.969185,0,secondary,,,
,185,262162159,signal,-87.669866,41.986767,0,secondary,,,
,186,2447758417,,-87.669792,41.986207,0,secondary,,,
,187,250278820,signal,-87.669576,41.986751,0,secondary,,,
,188,2447758416,,-87.669821,41.985945,0,secondary,,,
,189,287215742,signal,-87.660424,41.994560,0,secondary,,,
,190,4332636365,,-87.660359,41.992533,0,secondary,,,
,191,4337177809,,-87.659721,41.971225,0,secondary,,,
,192,3921165858,signal,-87.659673,41.969021,0,secondary,,,
,193,4337264033,,-87.638565,41.940359,0,secondary,,,
,194,250278972,signal,-87.638796,41.940268,0,secondary,,,
,195,4387385896,signal,-87.647275,41.947355,0,secondary,,,
,196,262170795,signal,-87.646142,41.945504,0,secondary,,,
,197,26099537,,-87.642314,41.928689,1,secondary,,197,
Clark & Fullerton,198,4334560476,,-87.640623,41.925828,0,secondary,,,
,199,250755854,,-87.627622,41.915310,0,motorway,,,
,200,250755872,,-87.627505,41.914429,0,motorway,,,
,201,250755865,signal,-87.631853,41.926001,0,motorway,,,
,202,250755868,,-87.630603,41.923776,0,motorway,,,
,203,4333091996,,-87.627325,41.913643,0,primary,,,
,204,1638702869,,-87.627206,41.913042,0,primary,,,
,205,250755878,,-87.628505,41.912247,0,primary,,,
,206,9698973070,,-87.627563,41.912197,0,primary,,,
,207,250755894,signal,-87.626017,41.913347,0,motorway,,,
,208,250755898,,-87.627574,41.915573,0,motorway,,,
,209,250755918,,-87.677255,41.921395,0,motorway,,,
,210,9272040586,signal,-87.676459,41.920934,0,motorway,,,
,211,26704163,,-87.675191,41.920831,0,motorway,,,
,212,310165564,,-87.675699,41.921239,0,motorway,,,
,213,90725711,,-87.624621,41.720520,0,motorway,,,
,214,366639834,,-87.625056,41.719028,0,motorway,,,
,215,401462151,,-87.632642,41.714662,0,motorway,,,
,216,250279048,,-87.621065,41.713653,0,motorway,,,
,217,387584291,,-87.613061,41.713481,0,motorway,,,
,218,33404764,signal,-87.634827,41.852866,0,secondary,,,
,219,9486908548,,-87.632391,41.852783,0,secondary,,,
,220,917877787,signal,-87.615975,41.794814,0,secondary,,,
,221,1317509540,,-87.617597,41.794788,0,secondary,,,
,222,11250138675,,-87.628257,41.794246,0,secondary,,,
,223,254241295,signal,-87.625693,41.794300,0,secondary,,,
,224,12002233089,,-87.607937,41.838607,1,secondary,,224,
,225,712771421,,-87.608213,41.838601,0,secondary,,,
,226,11766518716,,-87.626712,41.891001,0,secondary,,,
,227,619628331,,-87.626653,41.889616,0,secondary,,,
,228,27477597,signal,-87.629504,41.885752,0,secondary,,,
,230,11831462309,,-87.632518,41.888008,0,secondary,,,
,231,6991303088,,-87.632518,41.887807,0,secondary,,,
,232,733197658,,-87.756227,41.887238,0,secondary,,,
,233,261221024,signal,-87.755309,41.887190,0,secondary,,,
,234,974236533,,-87.885005,41.957879,0,primary,,,
,235,4334560538,,-87.895843,41.952352,0,primary,,,
,236,1976164047,,-87.843752,41.938179,0,secondary,,,
,237,4275685381,,-87.836702,41.940276,0,primary,,,
,238,261160833,signal,-87.781804,41.792344,1,secondary,,238,
,239,369656457,,-87.779547,41.792392,0,secondary,,,
,240,258032427,signal,-87.647275,41.879223,0,secondary,,,
,241,4336249478,,-87.647242,41.878228,0,secondary,,,
,242,27446710,signal,-87.626161,41.880802,0,secondary,,,
