name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,0,49717477.0,traffic_signals,15,1,,primary,0,-77.0466503,38.9024051,21.0,,,0.0,0.0
,1,49718849.0,,38,0,,primary,0,-77.0501283,38.8957332,,,,0.0,0.0
,2,49718886.0,,38,0,,motorway,0,-77.0487386,38.8958041,,,,0.0,0.0
,3,49722979.0,,39,0,,motorway,0,-77.04653499999998,38.8956539,,,,0.0,0.0
,4,49722994.0,traffic_signals,39,1,,tertiary,0,-77.0449266,38.8954286,,,,0.0,0.0
,5,49729677.0,traffic_signals,14,1,,primary,0,-77.04947609999998,38.9027152,,,,0.0,0.0
,6,49729890.0,,57,0,,primary,0,-77.027546,38.89208710000001,,,,0.0,0.0
,7,49730319.0,,38,0,,secondary,0,-77.04862340000003,38.8962602,,,,0.0,0.0
,8,49732286.0,traffic_signals,57,1,,secondary,0,-77.0281418,38.892089299999995,,,,0.0,0.0
,9,49732346.0,,13,0,,primary,0,-77.0506012,38.9029136,,,,0.0,0.0
,10,49734104.0,traffic_signals,9,1,,primary,0,-77.0270245,38.90416629999999,,,,0.0,0.0
,11,49734107.0,,9,0,,primary,0,-77.0276415,38.9041698,,,,0.0,0.0
,12,49734172.0,,38,0,,motorway,0,-77.0487416,38.8958963,,,,0.0,0.0
,13,49737731.0,,13,0,,primary,0,-77.0507556,38.9023635,,,,0.0,0.0
,14,49738041.0,,50,0,,primary,0,-77.0501553,38.8924286,,,,0.0,0.0
,15,49738093.0,,14,0,,primary,0,-77.04975309999998,38.90209779999999,,,,0.0,0.0
,16,49741647.0,traffic_signals,51,1,,tertiary,0,-77.0466678,38.89208970000001,,,,0.0,0.0
,17,49741652.0,traffic_signals,51,1,,tertiary,0,-77.0466778,38.89351660000001,,,,0.0,0.0
,18,49741663.0,traffic_signals,39,1,,tertiary,0,-77.0466637,38.895238299999995,33.0,,,0.0,0.0
,19,49741673.0,traffic_signals,39,1,,primary,0,-77.0466663,38.8960156,,,,0.0,0.0
,20,49741695.0,traffic_signals,27,1,,residential,0,-77.0466574,38.8995741,,,,0.0,0.0
,21,49741703.0,,15,0,,tertiary,0,-77.0466546,38.9006944,,,,0.0,0.0
,22,49741709.0,traffic_signals,15,1,,primary,0,-77.04665,38.9025305,21.0,,,0.0,0.0
,23,49741710.0,traffic_signals,3,1,,tertiary,0,-77.046647,38.9037424,,,,0.0,0.0
,24,49745618.0,,43,0,,secondary,0,-77.0319535,38.894651700000004,,,,0.0,0.0
,25,49745628.0,traffic_signals,31,1,,secondary,0,-77.03195,38.89735039999999,,,,0.0,0.0
,26,49745629.0,traffic_signals,31,1,,secondary,0,-77.03195059999999,38.8983201,,,,0.0,0.0
,27,49745631.0,traffic_signals,31,1,,secondary,0,-77.03195040000001,38.8994359,23.0,,,0.0,0.0
,28,49745632.0,traffic_signals,19,1,,secondary,0,-77.0319505,38.900209000000004,,,,0.0,0.0
,29,49745636.0,traffic_signals,19,1,,secondary,0,-77.0319507,38.9013356,,,,0.0,0.0
,30,49745640.0,traffic_signals,19,1,,secondary,0,-77.03195440000002,38.902519899999994,22.0,,,0.0,0.0
,31,49745644.0,traffic_signals,7,1,,secondary,0,-77.0319511,38.903737299999996,,,,0.0,0.0
,32,49748690.0,traffic_signals,60,1,,primary,0,-77.01852530000002,38.89245800000001,19.0,,,0.0,0.0
,33,49748694.0,,59,0,,primary,0,-77.0191525,38.8920874,,,,0.0,0.0
,34,49748716.0,traffic_signals,59,1,,primary,0,-77.019911,38.892076,,,,0.0,0.0
,35,49748720.0,traffic_signals,59,1,,secondary,0,-77.0219312,38.89207860000001,,,,0.0,0.0
,36,49748725.0,traffic_signals,58,1,,primary,0,-77.0239597,38.8920785,,,,0.0,0.0
,37,49748733.0,traffic_signals,57,1,,primary,0,-77.02602259999998,38.8920862,,,,0.0,0.0
,38,49748775.0,,53,0,,primary,0,-77.04069790000001,38.8921004,,,,0.0,0.0
,39,49748779.0,traffic_signals,52,1,,primary,0,-77.0434835,38.8920951,,,,0.0,0.0
,40,49748781.0,traffic_signals,51,1,,tertiary,0,-77.0449316,38.89209260000001,,,,0.0,0.0
,41,49748784.0,traffic_signals,50,1,,secondary,0,-77.047972,38.8920875,,,,0.0,0.0
,42,49748788.0,traffic_signals,50,1,,tertiary,0,-77.0488495,38.892102,,,,0.0,0.0
,43,49749106.0,traffic_signals,17,1,,secondary,0,-77.0379693,38.9002001,,,,0.0,0.0
,44,49750819.0,,53,0,,primary,0,-77.03947240000002,38.89355120000001,,,,0.0,0.0
,45,49750826.0,traffic_signals,52,1,,secondary,0,-77.0417542,38.89352810000001,,,,0.0,0.0
,46,49750830.0,traffic_signals,52,1,,secondary,0,-77.04347920000002,38.8935385,,,,0.0,0.0
,47,49750843.0,,51,0,,tertiary,0,-77.0449284,38.893516,,,,0.0,0.0
,48,49750861.0,traffic_signals,50,1,,primary,0,-77.050135,38.8935253,,,,0.0,0.0
,49,49756474.0,,44,0,,residential,0,-77.0308026,38.8946435,,,,0.0,0.0
,50,49762191.0,traffic_signals,35,1,,tertiary,0,-77.021923,38.8984651,,,,0.0,0.0
,51,49762202.0,traffic_signals,33,1,,secondary,0,-77.02704320000002,38.8983237,,,,0.0,0.0
,52,49762207.0,traffic_signals,33,1,,tertiary,0,-77.0280844,38.8983206,,,,0.0,0.0
,53,49762210.0,traffic_signals,32,1,,secondary,0,-77.0296175,38.898313,,,,0.0,0.0
,54,49762221.0,traffic_signals,31,1,,primary,0,-77.03365629999998,38.8983139,,,,0.0,0.0
,55,49762225.0,,29,0,,primary,0,-77.03946979999998,38.898309999999995,,,,0.0,0.0
