poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
2,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
6,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
7,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,convenience,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,part,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,parking_entrance,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,civic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
21,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
22,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,Gym,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,church;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
26,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
27,government,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
29,Hotel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
31,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
32,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
35,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
36,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
37,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
38,nightclub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
40,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
41,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
42,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
45,embassy,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
