link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1,30027,connector,840,43254,"LINESTRING (-111.145630 32.182896, -111.153870 32.182862)",0.772320,0.480000,1.920000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,29.4,29.4,9999.0,0.0,0.0029,1.9,0.0,0.0,29.4,29.4,9999.000,0.000,0.0029,1.920,0.000,0.000,
2,30027,connector,43254,840,"LINESTRING (-111.153870 32.182854, -111.145630 32.182888)",0.772320,0.480000,1.920000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,55.0,55.0,9999.0,0.0,0.0055,1.9,0.0,0.0,55.0,55.0,9999.000,0.000,0.0055,1.920,0.000,0.000,
3,30028,connector,782,43256,"LINESTRING (-111.157349 32.412487, -111.148071 32.412388)",0.868860,0.540000,2.160000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,13.9,13.9,9999.0,0.0,0.0014,2.2,0.0,0.0,13.9,13.9,9999.000,0.000,0.0014,2.160,0.000,0.000,
4,30028,connector,43256,782,"LINESTRING (-111.148071 32.412396, -111.157349 32.412495)",0.868860,0.540000,2.160000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,39.8,39.8,9999.0,0.0,0.0040,2.2,0.0,0.0,39.8,39.8,9999.000,0.000,0.0040,2.160,0.000,0.000,
5,30029,connector,784,43258,"LINESTRING (-111.148865 32.468231, -111.189484 32.470993)",3.829420,2.380000,9.520000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,15.2,15.2,9999.0,0.0,0.0015,9.5,0.0,0.0,15.2,15.2,9999.000,0.000,0.0015,9.520,0.000,0.000,
6,30029,connector,43258,784,"LINESTRING (-111.189484 32.470985, -111.148865 32.468223)",3.829420,2.380000,9.520000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,41.9,41.9,9999.0,0.0,0.0042,9.5,0.0,0.0,41.9,41.9,9999.000,0.000,0.0042,9.520,0.000,0.000,
7,30030,Major arterial,43259,43260,"LINESTRING (-111.156464 32.133289, -111.145287 32.133262)",1.061940,0.660000,0.660000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,303.5,303.5,1800.0,0.0,0.1686,0.7,0.0,0.0,303.5,303.5,1800.000,0.000,0.1686,0.660,0.000,0.000,
8,30030,Major arterial,43260,43259,"LINESTRING (-111.145287 32.133270, -111.156464 32.133297)",1.061940,0.660000,0.660000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,81.0,81.0,1800.0,0.0,0.0450,0.7,0.0,0.0,81.0,81.0,1800.000,0.000,0.0450,0.660,0.000,0.000,
9,30031,Major arterial,43261,43262,"LINESTRING (-111.135986 32.424504, -111.162682 32.425347)",2.622670,1.630000,2.222727,70.796000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,70.8,1750.0,1.0,141.1,141.1,1750.0,0.0,0.0806,2.2,0.0,0.0,141.1,141.1,1750.000,0.000,0.0806,2.223,0.000,0.000,
10,30031,Major arterial,43262,43261,"LINESTRING (-111.162682 32.425339, -111.135986 32.424496)",2.622670,1.630000,2.222727,70.796000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,70.8,1750.0,1.0,224.3,224.3,1750.0,0.0,0.1282,2.2,0.0,0.0,224.3,224.3,1750.000,0.000,0.1282,2.223,0.000,0.000,
