zone_id,name,centroid_x,centroid_y,centroid,node_id_list,geometry
1,1,-110.970085,32.22493,POINT (-110.970085 32.22493),"[2898, 2899, 2900, 2904, 2911, 2920]",
2,2,-110.97007,32.223598,POINT (-110.97007 32.223598),[],
3,3,-110.967941,32.222775,POINT (-110.967941 32.222775),"[307, 1739, 1743]",
4,4,-110.967323,32.223721,POINT (-110.967323 32.223721),[1744],
5,5,-110.966293,32.221649,POINT (-110.966293 32.221649),"[171, 172, 612, 613, 1145, 1146, 1147, 1148, 1149, 2238, 2239, 2387, 2388, 3058, 3809, 3810, 4056, 4057, 4058, 4059, 4060, 4061, 4062, 4063, 4348, 4349, 4350, 4351, 4355, 4356, 5564, 6772]",
6,6,-110.967834,32.221626,POINT (-110.967834 32.221626),"[211, 306, 964, 1144, 1891, 5595, 5597, 5737, 5738]",
7,7,-110.969772,32.221519,POINT (-110.969772 32.221519),"[210, 5739]",
8,8,-110.971771,32.221424,POINT (-110.971771 32.221424),"[209, 381, 1889, 5736, 5740, 5741, 5742]",
9,9,-110.969902,32.222557,POINT (-110.969902 32.222557),[],
10,10,-110.971878,32.222301,POINT (-110.971878 32.222301),[],
11,11,-110.972137,32.223492,POINT (-110.972137 32.223492),[],
12,12,-110.97242,32.22467,POINT (-110.97242 32.22467),[],
13,13,-110.973267,32.227165,POINT (-110.973267 32.227165),"[1214, 1215, 2901, 2908, 2912, 2913, 2914, 2915, 2916, 2921, 6839]",
14,14,-110.967102,32.225372,POINT (-110.967102 32.225372),"[153, 154, 2902, 2903, 2905, 2906]",
15,15,-110.974426,32.224819,POINT (-110.974426 32.224819),[],
16,16,-110.974403,32.222599,POINT (-110.974403 32.222599),"[380, 386, 790, 1560, 1561, 1562, 1592, 2232, 2233, 2234, 2759, 4347]",
17,17,-110.978783,32.223518,POINT (-110.978783 32.223518),"[369, 474, 475, 549, 550, 785, 2885, 4046, 4047]",
18,18,-110.977768,32.219406,POINT (-110.977768 32.219406),"[367, 368, 420, 421, 471, 543, 544, 545, 546, 548, 787, 788, 789, 960, 961, 1223, 1490, 1491, 1493, 1494, 1496, 1497, 1498, 1590, 1591, 2882, 2883, 2884, 4042, 4043, 4320]",
19,19,-110.974236,32.219124,POINT (-110.974236 32.219124),[],
20,20,-110.971581,32.218998,POINT (-110.971581 32.218998),[],
21,21,-110.969498,32.217243,POINT (-110.969498 32.217243),[],
22,22,-110.967018,32.217278,POINT (-110.967018 32.217278),[],
23,23,-110.96405,32.216122,POINT (-110.96405 32.216122),"[611, 660]",
24,24,-110.959862,32.214985,POINT (-110.959862 32.214985),"[151, 152, 614, 615, 616, 617, 4081, 5463, 5464]",
25,25,-110.971954,32.214622,POINT (-110.971954 32.214622),[],
26,26,-110.976318,32.214592,POINT (-110.976318 32.214592),[],
