node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry
0,-96.7353652,43.5003409,50,50,0,,21,,secondary,POINT (-96.7353652 43.5003409)
1,-96.7353079,43.4997261,10,10,0,,,,residential,POINT (-96.7353079 43.4997261)
2,-96.7347726,43.4989109,10,10,0,,,,residential,POINT (-96.7347726 43.4989109)
3,-96.7337656,43.4982298,10,10,0,,,,residential,POINT (-96.7337656 43.4982298)
4,-96.7310107,43.497268,10,10,0,,,,residential,POINT (-96.7310107 43.497268)
5,-96.7303978,43.497046,10,10,0,,,,residential,POINT (-96.7303978 43.497046)
6,-96.7908254,43.5002771,50,50,0,signal,13,,secondary,POINT (-96.7908254 43.5002771)
7,-96.7920143,43.4971045,10,10,0,,,,residential,POINT (-96.7920143 43.4971045)
8,-96.7924701,43.4963865,10,10,0,,,,residential,POINT (-96.7924701 43.4963865)
9,-96.7930111,43.4955939,10,10,0,,,,residential,POINT (-96.7930111 43.4955939)
10,-96.79383,43.4947198,10,10,0,,,,residential,POINT (-96.79383 43.4947198)
11,-96.7942449,43.4942544,10,10,2,,,,residential,POINT (-96.7942449 43.4942544)
12,-96.8105676,43.4959609,10,10,0,,,,residential,POINT (-96.8105676 43.4959609)
13,-96.8107678,43.4932879,10,10,0,,,,residential,POINT (-96.8107678 43.4932879)
14,-96.8096852,43.4906113,10,10,0,,,,residential,POINT (-96.8096852 43.4906113)
15,-96.7077388,43.4926295,50,50,0,,20,,secondary,POINT (-96.7077388 43.4926295)
16,-96.7036406,43.4926055,10,10,0,,,,residential,POINT (-96.7036406 43.4926055)
17,-96.7418066,43.4945552,50,50,0,,24,,tertiary,POINT (-96.7418066 43.4945552)
18,-96.741382,43.496249,10,10,0,,,,residential,POINT (-96.741382 43.496249)
19,-96.74075,43.496463,10,10,0,,,,residential,POINT (-96.74075 43.496463)
20,-96.739373,43.496857,10,10,0,,,,residential,POINT (-96.739373 43.496857)
21,-96.740333,43.495297,10,10,2,,,,residential,POINT (-96.740333 43.495297)
22,-96.8118985,43.4915412,10,10,0,,,,residential,POINT (-96.8118985 43.4915412)
23,-96.814538,43.491544,10,10,0,,,,residential,POINT (-96.814538 43.491544)
24,-96.7606323,43.4927199,10,10,0,,,,residential,POINT (-96.7606323 43.4927199)
25,-96.7614918,43.4920531,10,10,0,,,,residential,POINT (-96.7614918 43.4920531)
26,-96.7595701,43.4903453,10,10,0,,,,residential,POINT (-96.7595701 43.4903453)
27,-96.725704,43.496092,10,10,0,,,,residential,POINT (-96.725704 43.496092)
28,-96.7266936,43.4952623,10,10,2,,,,residential,POINT (-96.7266936 43.4952623)
29,-96.7859412,43.4926499,50,50,0,,,,motorway,POINT (-96.7859412 43.4926499)
30,-96.7972108,43.4812239,50,50,0,,,,motorway,POINT (-96.7972108 43.4812239)
31,-96.6988986,43.4972463,10,10,0,,,,residential,POINT (-96.6988986 43.4972463)
32,-96.6993307,43.4943426,10,10,0,,,,residential,POINT (-96.6993307 43.4943426)
33,-96.7572132,43.496874,50,50,0,,,,tertiary,POINT (-96.7572132 43.496874)
34,-96.7573673,43.497545,10,10,0,,,,residential,POINT (-96.7573673 43.497545)
35,-96.7587333,43.4976285,10,10,2,,,,residential,POINT (-96.7587333 43.4976285)
36,-96.762597,43.4983598,50,50,0,,,,motorway,POINT (-96.762597 43.4983598)
37,-96.7684085,43.4970702,50,50,0,,,,motorway,POINT (-96.7684085 43.4970702)
38,-96.725619,43.490698,10,10,0,,,,residential,POINT (-96.725619 43.490698)
39,-96.7257405,43.4896439,10,10,0,,,,residential,POINT (-96.7257405 43.4896439)
40,-96.7257386,43.4895242,10,10,0,,,,residential,POINT (-96.7257386 43.4895242)
41,-96.814212,43.50031,50,50,0,,,,secondary,POINT (-96.814212 43.50031)
42,-96.81435,43.498913,10,10,0,,,,residential,POINT (-96.81435 43.498913)
43,-96.722085,43.487589,10,10,0,,,,residential,POINT (-96.722085 43.487589)
44,-96.722567,43.4863416,10,10,0,,,,residential,POINT (-96.722567 43.4863416)
45,-96.7256691,43.4838476,10,10,2,,,,residential,POINT (-96.7256691 43.4838476)
46,-96.7269098,43.4861748,10,10,0,,,,residential,POINT (-96.7269098 43.4861748)
47,-96.7274046,43.4862051,10,10,0,,,,residential,POINT (-96.7274046 43.4862051)
48,-96.7275957,43.4862043,10,10,0,,,,residential,POINT (-96.7275957 43.4862043)
49,-96.749547,43.492302,10,10,0,,,,residential,POINT (-96.749547 43.492302)
50,-96.7508933,43.4941732,10,10,0,,,,residential,POINT (-96.7508933 43.4941732)
51,-96.7657387,43.480257,10,10,0,,,,residential,POINT (-96.7657387 43.480257)
52,-96.7657232,43.4797408,10,10,2,,,,residential,POINT (-96.7657232 43.4797408)
53,-96.7614316,43.479909,10,10,0,,,,residential,POINT (-96.7614316 43.479909)
54,-96.760772,43.4792055,10,10,0,,,,residential,POINT (-96.760772 43.4792055)
55,-96.7591305,43.4780394,10,10,0,,,,residential,POINT (-96.7591305 43.4780394)
56,-96.7693177,43.4763225,10,10,0,,,,residential,POINT (-96.7693177 43.4763225)
57,-96.7673027,43.4762799,10,10,0,,,,residential,POINT (-96.7673027 43.4762799)
58,-96.7329517,43.4895667,10,10,0,,,,residential,POINT (-96.7329517 43.4895667)
59,-96.732953,43.4896441,10,10,0,,,,residential,POINT (-96.732953 43.4896441)
60,-96.7300032,43.4898174,10,10,0,,,,residential,POINT (-96.7300032 43.4898174)
61,-96.7489145,43.4895984,10,10,0,,,,residential,POINT (-96.7489145 43.4895984)
62,-96.7504787,43.4896126,50,50,0,,,,secondary,POINT (-96.7504787 43.4896126)
63,-96.7300015,43.489556,10,10,0,,,,residential,POINT (-96.7300015 43.489556)
64,-96.7295088,43.4858939,10,10,0,,,,residential,POINT (-96.7295088 43.4858939)
65,-96.7294741,43.4837731,10,10,0,,,,residential,POINT (-96.7294741 43.4837731)
66,-96.7294874,43.4823349,10,10,0,,,,residential,POINT (-96.7294874 43.4823349)
67,-96.7337921,43.4896457,10,10,0,,,,residential,POINT (-96.7337921 43.4896457)
68,-96.7337957,43.4895711,10,10,0,,,,residential,POINT (-96.7337957 43.4895711)
69,-96.7332428,43.4883696,10,10,0,,,,residential,POINT (-96.7332428 43.4883696)
70,-96.7324516,43.4868144,10,10,0,,,,residential,POINT (-96.7324516 43.4868144)
71,-96.7315794,43.4851263,10,10,0,,,,residential,POINT (-96.7315794 43.4851263)
72,-96.7536973,43.486341,10,10,2,,,,residential,POINT (-96.7536973 43.486341)
73,-96.7523186,43.4857175,10,10,0,,,,residential,POINT (-96.7523186 43.4857175)
74,-96.7482025,43.4860133,10,10,0,,,,residential,POINT (-96.7482025 43.4860133)
75,-96.7424182,43.4890448,10,10,0,,,,residential,POINT (-96.7424182 43.4890448)
76,-96.7450888,43.4881836,10,10,0,,,,residential,POINT (-96.7450888 43.4881836)
77,-96.7450833,43.4860016,10,10,0,,,,residential,POINT (-96.7450833 43.4860016)
78,-96.7424308,43.4874012,10,10,0,,,,residential,POINT (-96.7424308 43.4874012)
79,-96.7404981,43.4855773,10,10,0,,,,residential,POINT (-96.7404981 43.4855773)
80,-96.7513275,43.4912803,10,10,0,,,,residential,POINT (-96.7513275 43.4912803)
81,-96.7521549,43.4941698,50,50,0,,,,tertiary,POINT (-96.7521549 43.4941698)
82,-96.7385038,43.4888571,10,10,2,,,,residential,POINT (-96.7385038 43.4888571)
83,-96.7394771,43.4887751,10,10,0,,,,residential,POINT (-96.7394771 43.4887751)
84,-96.7397722,43.4895835,10,10,0,,,,residential,POINT (-96.7397722 43.4895835)
85,-96.7414672,43.4895848,10,10,0,,,,residential,POINT (-96.7414672 43.4895848)
86,-96.7414662,43.4896577,10,10,0,,,,residential,POINT (-96.7414662 43.4896577)
87,-96.7414592,43.4901615,10,10,0,,,,residential,POINT (-96.7414592 43.4901615)
88,-96.7416515,43.4910599,10,10,0,,,,residential,POINT (-96.7416515 43.4910599)
89,-96.7432784,43.4927612,10,10,0,,,,residential,POINT (-96.7432784 43.4927612)
90,-96.7541978,43.4899313,10,10,0,,,,residential,POINT (-96.7541978 43.4899313)
91,-96.7538323,43.4917884,10,10,0,,,,residential,POINT (-96.7538323 43.4917884)
92,-96.7606115,43.4770677,10,10,0,,,,residential,POINT (-96.7606115 43.4770677)
93,-96.7603276,43.4767248,10,10,2,,,,residential,POINT (-96.7603276 43.4767248)
94,-96.730158,43.4837749,10,10,0,,,,residential,POINT (-96.730158 43.4837749)
95,-96.7301621,43.4849216,10,10,0,,,,residential,POINT (-96.7301621 43.4849216)
96,-96.7303285,43.4855313,10,10,0,,,,residential,POINT (-96.7303285 43.4855313)
97,-96.7303249,43.4829346,10,10,2,,,,residential,POINT (-96.7303249 43.4829346)
98,-96.7308889,43.4836116,10,10,0,,,,residential,POINT (-96.7308889 43.4836116)
99,-96.7516384,43.4948554,10,10,2,,,,residential,POINT (-96.7516384 43.4948554)
100,-96.7509356,43.4945973,10,10,0,,,,residential,POINT (-96.7509356 43.4945973)
101,-96.7498282,43.4945895,10,10,0,,,,residential,POINT (-96.7498282 43.4945895)
102,-96.7565422,43.4771425,10,10,0,,,,residential,POINT (-96.7565422 43.4771425)
103,-96.7579689,43.4771464,10,10,0,,,,residential,POINT (-96.7579689 43.4771464)
104,-96.7591153,43.4771516,10,10,0,,,,residential,POINT (-96.7591153 43.4771516)
105,-96.761052,43.4767558,10,10,0,,,,residential,POINT (-96.761052 43.4767558)
106,-96.7618364,43.4760959,10,10,0,,,,residential,POINT (-96.7618364 43.4760959)
107,-96.7622544,43.4752918,50,50,0,,,,tertiary,POINT (-96.7622544 43.4752918)
108,-96.7356971,43.4863857,10,10,0,,,,residential,POINT (-96.7356971 43.4863857)
109,-96.7336869,43.4864589,10,10,0,,,,residential,POINT (-96.7336869 43.4864589)
110,-96.7293052,43.4810791,10,10,0,,,,residential,POINT (-96.7293052 43.4810791)
111,-96.7301673,43.4808892,10,10,0,,,,residential,POINT (-96.7301673 43.4808892)
112,-96.7309504,43.4810091,10,10,0,,,,residential,POINT (-96.7309504 43.4810091)
113,-96.7316063,43.4815671,10,10,0,,,,residential,POINT (-96.7316063 43.4815671)
114,-96.7639642,43.4962225,10,10,2,,,,residential,POINT (-96.7639642 43.4962225)
115,-96.7649442,43.4956211,10,10,0,,,,residential,POINT (-96.7649442 43.4956211)
116,-96.765246,43.4953268,10,10,0,,,,residential,POINT (-96.765246 43.4953268)
117,-96.7641381,43.4953648,10,10,2,,,,residential,POINT (-96.7641381 43.4953648)
118,-96.7474976,43.494125,50,50,0,,,,tertiary,POINT (-96.7474976 43.494125)
119,-96.7484693,43.4941288,50,50,0,,,,tertiary,POINT (-96.7484693 43.4941288)
120,-96.7496157,43.494155,50,50,0,,,,tertiary,POINT (-96.7496157 43.494155)
121,-96.7535592,43.4941882,50,50,0,,,,tertiary,POINT (-96.7535592 43.4941882)
122,-96.7540309,43.4941924,50,50,0,,,,tertiary,POINT (-96.7540309 43.4941924)
123,-96.7560746,43.4942192,50,50,0,,,,tertiary,POINT (-96.7560746 43.4942192)
124,-96.7567401,43.4942237,50,50,0,,,,tertiary,POINT (-96.7567401 43.4942237)
125,-96.7574773,43.4942892,50,50,0,,,,tertiary,POINT (-96.7574773 43.4942892)
126,-96.7019106,43.494354,10,10,0,,,,residential,POINT (-96.7019106 43.494354)
127,-96.7005227,43.4943457,10,10,0,,,,residential,POINT (-96.7005227 43.4943457)
128,-96.698292,43.494339,10,10,0,,,,residential,POINT (-96.698292 43.494339)
129,-96.7224205,43.4889206,10,10,0,,,,residential,POINT (-96.7224205 43.4889206)
130,-96.7235344,43.4889214,10,10,0,,,,residential,POINT (-96.7235344 43.4889214)
131,-96.7237286,43.4889231,10,10,0,,,,residential,POINT (-96.7237286 43.4889231)
132,-96.7772054,43.4785454,50,50,0,,,,tertiary,POINT (-96.7772054 43.4785454)
133,-96.7753357,43.4785421,50,50,0,,,,tertiary,POINT (-96.7753357 43.4785421)
134,-96.7741978,43.4785337,50,50,0,,,,tertiary,POINT (-96.7741978 43.4785337)
135,-96.7724528,43.4783784,50,50,0,,,,tertiary,POINT (-96.7724528 43.4783784)
136,-96.7714067,43.4780684,50,50,0,,,,tertiary,POINT (-96.7714067 43.4780684)
137,-96.7710845,43.485615,10,10,0,,,,residential,POINT (-96.7710845 43.485615)
138,-96.7710865,43.4826332,10,10,0,,,,residential,POINT (-96.7710865 43.4826332)
139,-96.7710756,43.4788309,10,10,0,,,,residential,POINT (-96.7710756 43.4788309)
140,-96.7711625,43.4785034,10,10,0,,,,residential,POINT (-96.7711625 43.4785034)
141,-96.7611588,43.4789312,10,10,2,,,,residential,POINT (-96.7611588 43.4789312)
142,-96.7775785,43.4936768,50,50,0,,,,motorway,POINT (-96.7775785 43.4936768)
143,-96.7702666,43.4928965,50,50,0,,,,motorway,POINT (-96.7702666 43.4928965)
144,-96.7537305,43.4757452,10,10,0,,,,residential,POINT (-96.7537305 43.4757452)
145,-96.7546141,43.4772059,10,10,0,,,,residential,POINT (-96.7546141 43.4772059)
146,-96.7565471,43.4780452,10,10,0,,,,residential,POINT (-96.7565471 43.4780452)
147,-96.764263,43.4783012,10,10,0,,,,residential,POINT (-96.764263 43.4783012)
148,-96.7645062,43.4780982,10,10,2,,,,residential,POINT (-96.7645062 43.4780982)
149,-96.7368828,43.4846349,10,10,0,,,,residential,POINT (-96.7368828 43.4846349)
150,-96.7368805,43.4873061,10,10,0,,,,residential,POINT (-96.7368805 43.4873061)
151,-96.7368049,43.4889692,10,10,2,,,,residential,POINT (-96.7368049 43.4889692)
152,-96.7438008,43.4872821,10,10,2,,,,residential,POINT (-96.7438008 43.4872821)
153,-96.7439056,43.4859989,10,10,0,,,,residential,POINT (-96.7439056 43.4859989)
154,-96.7113024,43.4888893,10,10,0,,,,residential,POINT (-96.7113024 43.4888893)
155,-96.7127331,43.4889079,10,10,0,,,,residential,POINT (-96.7127331 43.4889079)
156,-96.7140227,43.4889169,10,10,0,,,,residential,POINT (-96.7140227 43.4889169)
157,-96.7151192,43.4889137,10,10,0,,,,residential,POINT (-96.7151192 43.4889137)
158,-96.7161439,43.4889223,10,10,0,,,,residential,POINT (-96.7161439 43.4889223)
159,-96.7171632,43.4889145,10,10,0,,,,residential,POINT (-96.7171632 43.4889145)
