name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,41517309,,-111.926288,33.431218,0,primary,,,
,1,316128961,,-111.926271,33.433591,0,primary,,,
,2,316007299,,-111.938944,33.415295,0,primary,,,
,3,4346575408,,-111.937022,33.414608,0,primary,,,
,5,314766566,,-111.909613,33.436330,0,secondary,,,
,7,9643219691,,-111.940070,33.421010,0,primary,,,
,8,41714336,signal,-111.936661,33.421909,0,secondary,,,
,10,4347874711,,-111.940594,33.407403,0,secondary,,,
,11,3983465565,,-111.943326,33.407379,0,secondary,,,
,12,4347874714,,-111.934416,33.407453,0,secondary,,,
,13,3983456159,,-111.934373,33.407453,0,secondary,,,
,14,5806074003,,-111.917713,33.419430,0,tertiary,,,
,15,41638526,,-111.909077,33.419530,0,secondary,,,
,16,41573985,,-111.926238,33.420976,0,primary,,,
,17,41662567,,-111.940632,33.433383,0,primary,,,
,18,316121280,,-111.941674,33.435288,0,primary,,,
,19,10647888710,,-111.934986,33.425091,2,tertiary,,19,
,20,316007232,signal,-111.934982,33.424333,0,tertiary,,,
,22,316119766,,-111.949609,33.435687,1,tertiary,,22,
,23,255929786,,-111.949622,33.435532,0,motorway,,,
,24,5128515704,,-111.898457,33.435637,0,motorway,,,
,25,2821297355,,-111.896209,33.434993,-1,motorway,,25,
,26,2714318037,signal,-111.937415,33.430404,0,secondary,,,
,27,316128443,,-111.935676,33.430436,0,secondary,,,
,28,2714318030,,-111.934928,33.430057,0,secondary,,,
,29,4346614528,,-111.934672,33.429873,0,secondary,,,
,30,255818875,,-111.934362,33.435012,0,motorway,,,
,31,255821593,,-111.930784,33.435454,0,motorway,,,
,32,255821596,,-111.927075,33.435710,0,motorway,,,
,33,255821736,signal,-111.926454,33.435880,0,motorway,,,
,34,4104818042,,-111.926352,33.436023,0,motorway,,,
,35,41200170,,-111.926159,33.435022,0,primary,,,
,36,255821853,,-111.925312,33.435556,0,motorway,,,
,37,255822020,,-111.920708,33.436327,0,motorway,,,
,38,1708879291,,-111.923641,33.436485,0,motorway,,,
,39,255822024,,-111.925450,33.436515,0,motorway,,,
,40,7241600541,signal,-111.926041,33.436346,0,motorway,,,
,41,4107204026,,-111.926155,33.436233,0,motorway,,,
,43,6124246712,,-111.910365,33.436622,0,motorway,,,
,44,255822414,,-111.917021,33.435913,0,motorway,,,
,45,255822477,,-111.916643,33.435787,0,motorway,,,
,46,255929788,,-111.949510,33.436815,0,tertiary,,,
,47,255929937,,-111.949415,33.437205,0,tertiary,,,
,48,255936343,,-111.942658,33.435795,0,motorway,,,
,49,255936355,,-111.944647,33.436095,0,motorway,,,
