poi_type_id,building,unit_of_measure,production_rate1,attraction_rate1,production_rate2,attraction_rate2,production_rate3,attraction_rate3
0,pub,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
1,pharmacy,"1,000 Sq. Ft. GFA",10.29,0.1,10.29,0.1,10.29,0.1
2,retail,"1,000 Sq. Ft. GFA",0.1,6.84,0.1,6.84,0.1,6.84
3,fast_food,"1,000 Sq. Ft. GFA",0.1,14.13,0.1,14.13,0.1,14.13
4,police,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
5,conference_centre,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
6,bicycle_parking,"1,000 Sq. Ft. GFA",0.1,2.39,0.1,2.39,0.1,2.39
7,public,"1,000 Sq. Ft. GFA",4.79,0.1,4.79,0.1,4.79,0.1
8,yes,"1,000 Sq. Ft. GFA",1.15,1.15,1.15,1.15,1.15,1.15
9,parking,"1,000 Sq. Ft. GFA",0.1,2.39,0.1,2.39,0.1,2.39
10,bank,"1,000 Sq. Ft. GFA",12.13,0.1,12.13,0.1,12.13,0.1
11,house,"1,000 Sq. Ft. GFA",0.1,0.48,0.1,0.48,0.1,0.48
12,apartments,"1,000 Sq. Ft. GFA",0.1,0.48,0.1,0.48,0.1,0.48
13,fountain,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
14,toilets,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
15,hotel,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
16,library,"1,000 Sq. Ft. GFA",8.16,0.1,8.16,0.1,8.16,0.1
17,Hotel,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
18,dormitory,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
19,school,"1,000 Sq. Ft. GFA",2.04,0.1,2.04,0.1,2.04,0.1
20,courthouse,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
21,theatre,"1,000 Sq. Ft. GFA",0.1,6.17,0.1,6.17,0.1,6.17
22,university,"1,000 Sq. Ft. GFA",1.17,0.1,1.17,0.1,1.17,0.1
23,roof,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
24,fire_station,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
25,place_of_worship,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
26,construction,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
27,shelter,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
28,government,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
29,residential,"1,000 Sq. Ft. GFA",0.1,0.48,0.1,0.48,0.1,0.48
30,Gym,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
31,restaurant,"1,000 Sq. Ft. GFA",0.1,7.8,0.1,7.8,0.1,7.8
32,arts_centre,"1,000 Sq. Ft. GFA",0.18,0.1,0.18,0.1,0.18,0.1
33,bench,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
34,civic,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
35,parking_entrance,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
36,cinema,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
37,embassy,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
38,part,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
39,hospital,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
40,church;yes,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
41,office,"1,000 Sq. Ft. GFA",2.04,0.1,2.04,0.1,2.04,0.1
42,convenience,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
43,commercial,"1,000 Sq. Ft. GFA",0.1,3.81,0.1,3.81,0.1,3.81
44,college,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
45,nightclub,"1,000 Sq. Ft. GFA",0.1,0.1,0.1,0.1,0.1,0.1
