poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
2,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
3,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
4,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
5,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
6,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
8,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
10,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
12,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
13,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
15,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
17,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
18,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
19,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
20,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
23,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
24,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
26,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
31,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
35,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
36,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
37,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
40,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
41,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,0
42,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
44,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
