zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-122.3350657544024,47.66462711698113,"POLYGON ((-122.34132 47.66303,-122.34132 47.66759,-122.33077999999999 47.66759,-122.33077999999999 47.66303,-122.34132 47.66303))",POINT (-122.3350657544024 47.66462711698113),306,759.3111883938112,626.4826180817602
2,A2,-122.32634941846771,47.66476568860509,"POLYGON ((-122.33077999999999 47.66303,-122.33077999999999 47.66759,-122.32023999999998 47.66759,-122.32023999999998 47.66303,-122.33077999999999 47.66303))",POINT (-122.32634941846771 47.66476568860509),496,870.1039287117112,960.7867738255167
3,A3,-122.31510757897296,47.6650917821516,"POLYGON ((-122.32023999999998 47.66303,-122.32023999999998 47.66759,-122.30969999999998 47.66759,-122.30969999999998 47.66303,-122.32023999999998 47.66303))",POINT (-122.31510757897296 47.6650917821516),394,1615.4129271620868,1499.1500687751868
4,A4,-122.30556151570445,47.66532612886835,"POLYGON ((-122.30969999999998 47.66303,-122.30969999999998 47.66759,-122.29915999999997 47.66759,-122.29915999999997 47.66303,-122.30969999999998 47.66303))",POINT (-122.30556151570445 47.66532612886835),407,1458.7466484101633,1681.7240124215239
5,A5,-122.29321164054795,47.66505787534246,"POLYGON ((-122.29915999999997 47.66303,-122.29915999999997 47.66759,-122.28861999999997 47.66759,-122.28861999999997 47.66303,-122.29915999999997 47.66303))",POINT (-122.29321164054795 47.66505787534246),346,927.7913563818252,1550.6985283125125
6,B1,-122.33461653274026,47.6606219355872,"POLYGON ((-122.3413221 47.65847,-122.3413221 47.66303,-122.3307821 47.66303,-122.3307821 47.65847,-122.3413221 47.65847))",POINT (-122.33461653274026 47.6606219355872),539,2133.939394506482,1708.9368010638389
7,B2,-122.32651485450381,47.66070280015266,"POLYGON ((-122.3307821 47.65847,-122.3307821 47.66303,-122.32024209999999 47.66303,-122.32024209999999 47.65847,-122.3307821 47.65847))",POINT (-122.32651485450381 47.66070280015266),632,1248.6507874563542,1597.4148316652488
8,B3,-122.31570198035085,47.66049944035085,"POLYGON ((-122.32024209999999 47.65847,-122.32024209999999 47.66303,-122.30970209999998 47.66303,-122.30970209999998 47.65847,-122.32024209999999 47.65847))",POINT (-122.31570198035085 47.66049944035085),280,1628.9331304151558,2642.7574988511615
9,B4,-122.30545832869564,47.661551841739126,"POLYGON ((-122.30970209999998 47.65847,-122.30970209999998 47.66303,-122.29916209999998 47.66303,-122.29916209999998 47.65847,-122.30970209999998 47.65847))",POINT (-122.30545832869564 47.661551841739126),114,911.6296223456832,2023.9965571582911
10,B5,-122.29149731955307,47.66116737206702,"POLYGON ((-122.29916209999998 47.65847,-122.29916209999998 47.66303,-122.28862209999997 47.66303,-122.28862209999997 47.65847,-122.29916209999998 47.65847))",POINT (-122.29149731955307 47.66116737206702),163,715.7522005722171,2859.632989519565
11,C1,-122.33522182456142,47.65596815248541,"POLYGON ((-122.3413221 47.65391,-122.3413221 47.65847,-122.3307821 47.65847,-122.3307821 47.65391,-122.3413221 47.65391))",POINT (-122.33522182456142 47.65596815248541),654,1571.8024492694663,1308.2393735941316
12,C2,-122.32660885658788,47.656524434459456,"POLYGON ((-122.3307821 47.65391,-122.3307821 47.65847,-122.32024209999999 47.65847,-122.32024209999999 47.65391,-122.3307821 47.65391))",POINT (-122.32660885658788 47.656524434459456),569,1399.3640146905088,1533.2353172947385
